StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q53_First Click,Q53_Last Click,Q53_Page Submit,Q53_Click Count,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q11,Q12,Q9,Q10,Q24,Q64,Q30,Q25,Q26,Q27,Q28,Q29,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q54,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q56_1,Q56_2,Q56_3,Q56_4,Q56_5,Q56_6,Q57_1,Q57_2,Q57_3,Q57_4,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Q58_6,Q64_1,Q64_2,Q64_3,Q64_4,Q64_5,Q64_6,Q65_1,Q65_2,Q65_3,Q65_4,Q66_1,Q66_2,Q66_3,Q66_4,Q66_5,Q66_6,Q13,Q14_1,Q15_1,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q63,Region,Pays,Ville,Code postal
Date de commencement,Date de fin,Type de réponse,Adresse IP,Progrès,Durée (en secondes),Terminé,Date enregistrée,Identifiant de la réponse,Nom du destinataire,Prénom du destinataire,Adresse e-mail du destinataire,Référence externe de données,Latitude de l'emplacement,Longitude de l'emplacement,Canal de distribution,Langue de l'utilisateur,Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,Quel est votre code postal ?,Quel est votre sexe (au sens de l'Etat civil) ?,Quelle est votre tranche d'âge ?,Quel est votre statut d'emploi ?,Quelle est votre catégorie socio-professionnelle ? (Rappelons que les chômeurs sont des actifs).,Quel est votre plus haut diplôme ?,"Combien de personnes composent votre ménage ? Le ménage inclut : vous, les membres de votre famille qui vivent avec vous, et les personnes à votre charge.","Dans votre ménage, combien de personnes ont 14 ans ou plus (vous inclus) ?","Dans votre ménage, combien de personnes sont majeures (vous inclus) ?","Quel est votre revenu mensuel net (en euros) ? Sont inclus ici tous les revenus (avant prélèvement à la source) : salaires, pensions, allocations, APL, revenus fonciers, etc.","Quel est le revenu mensuel net (en euros) de votre ménage ? Sont inclus ici tous les revenus (avant prélèvement à la source) : salaires, pensions, allocations, APL, revenus fonciers, etc.",A quelle fréquence mangez-vous de la viande ?,Pour quelles raisons mangez-vous régulièrement de la viande ?,Pour quelles raisons mangez-vous rarement de la viande ?,Pour quelles raisons ne mangez-vous pas de viande ?,Pensez-vous qu’il serait souhaitable que davantage de Français arrêtent de manger de la viande ?,Pourquoi selon vous il serait souhaitable que davantage de Français arrêtent de manger de la viande ?,Pourquoi selon vous il ne serait pas souhaitable que davantage de Français arrêtent de manger de la viande ?,"Selon vous, quels seraient les avantages et inconvénients à ce que davantage de Français arrêtent de manger de la viande ?","Que pensez-vous de l'affirmation suivante : ""La généralisation d'un régime végétarien conduirait à la disparition des élevages qui font partie de l’identité de nos campagnes"" ?","Que pensez-vous de l'affirmation suivante : ""L'empreinte carbone de la viande est beaucoup plus élevée que celles des aliments constituant un régime végétarien"" ?",Vous arrive-t-il de prendre l'avion ? (Avant la crise sanitaire).,Pour quelles raisons vous arrive-t-il de privilégier l'avion plutôt que d'autres modes de transport ?,Pour quelles raisons ne prenez-vous pas ou plus l'avion ?,Pensez-vous qu'il serait souhaitable que les Français ...,Pourquoi selon vous il serait souhaitable que les Français prennent davantage l'avion ?,Pourquoi selon vous il serait souhaitable que les Français prennent moins l'avion ?,"Selon vous, quels seraient les avantages et inconvénients à ce que davantage de Français prennent l'avion ?","Que pensez-vous de l'affirmation suivante : ""L'empreinte carbone de l'avion est beaucoup plus élevée que celles des autres modes de transport"" ?","Que pensez-vous de l'affirmation suivante : ""L'avion permet de découvrir le monde et de s'ouvrir à d'autres cultures"" ?",Disposez-vous actuellement d'une voiture ? (Plusieurs réponses possibles).,"Si vous deviez acheter une voiture prochainement, opteriez-vous plutôt pour ...",Pour quelle raison opteriez-vous plutôt pour ce type de véhicule ?,Pensez-vous qu'il serait souhaitable que davantage de Français optent pour des véhicules électriques ou hybride ?,Pourquoi selon vous il serait souhaitable que davantage de Français optent pour ce type de véhicule ?,Pourquoi selon vous il ne serait pas souhaitable que davantage de Français optent pour ce type de véhicule ?,"Selon vous, quels seraient les avantages et inconvénients à ce que davantage de Français optent pour ce type de véhicule ?","Que pensez-vous de l'affirmation suivante : ""Sur l'ensemble de leur cycle de vie, en France les voitures électriques émettent moins de gaz à effet de serre que les voitures thermiques"" ?","Que pensez-vous de l'affirmation suivante : ""Les batteries actuellement utilisées nécessitent l'utilisation de métaux rares et sont mal recyclées"" ?","Parmi les arguments suivants concernant la consommation de viande, lesquels vous semblent pertinents ? - Une forte réduction de la consommation de viande accroitrait la précarité des agriculteurs","Parmi les arguments suivants concernant la consommation de viande, lesquels vous semblent pertinents ? - Il est naturel que l'être humain mange de la viande","Parmi les arguments suivants concernant la consommation de viande, lesquels vous semblent pertinents ? - Ne pas du tout manger de viande est mauvais pour la santé","Parmi les arguments suivants concernant la consommation de viande, lesquels vous semblent pertinents ? - Manger de la viande c'est consentir aux conditions horribles des abattoirs","Parmi les arguments suivants concernant la consommation de viande, lesquels vous semblent pertinents ? - Manger de la viande contribue au réchauffement climatique","Parmi les arguments suivants concernant la consommation de viande, lesquels vous semblent pertinents ? - Manger de la viande rouge est cancérigène","Parmi les arguments suivants concernant l'usage de l'avion, lesquels vous semblent pertinents ? - Prendre l'avion contribue au réchauffement climatique","Parmi les arguments suivants concernant l'usage de l'avion, lesquels vous semblent pertinents ? - Je ne crée pas de pollution en prenant l'avion car celui-ci partira que je prenne un billet ou non","Parmi les arguments suivants concernant l'usage de l'avion, lesquels vous semblent pertinents ? - Prendre l'avion est essentiel pour voyager et s'ouvrir l'esprit","Parmi les arguments suivants concernant l'usage de l'avion, lesquels vous semblent pertinents ? - Arrêter de voyager en avion ça serait aller à l'encontre du progrès","Parmi les arguments suivants concernant l'usage des véhicules électriques et hybrides, lesquels vous semblent pertinents ? - C'est un problème car les batteries sont difficiles à recycler","Parmi les arguments suivants concernant l'usage des véhicules électriques et hybrides, lesquels vous semblent pertinents ? - Cela n'est pas écologique car cela nécessite plus d'électricité d'origine nucléaire","Parmi les arguments suivants concernant l'usage des véhicules électriques et hybrides, lesquels vous semblent pertinents ? - Cela déplace la pollution dans les pays pauvres où les métaux des batteries sont extraits","Parmi les arguments suivants concernant l'usage des véhicules électriques et hybrides, lesquels vous semblent pertinents ? - Ces véhicules émettent moins de gaz à effet de serre, et contribuent moins au changement climatique","Parmi les arguments suivants concernant l'usage des véhicules électriques et hybrides, lesquels vous semblent pertinents ? - Ces véhicules évitent la pollution des échappements et ses effets néfastes sur la santé","Parmi les arguments suivants concernant l'usage des véhicules électriques et hybrides, lesquels vous semblent pertinents ? - Les progrès technologiques permettront à terme de remédier au problème de recyclage des batteries.","D'après vous, quelle part des Français jugent pertinent chacun des arguments suivants concernant la consommation de viande ? - Une forte réduction de la consommation de viande accroitrait la précarité des agriculteurs","D'après vous, quelle part des Français jugent pertinent chacun des arguments suivants concernant la consommation de viande ? - Il est naturel que l'être humain mange de la viande","D'après vous, quelle part des Français jugent pertinent chacun des arguments suivants concernant la consommation de viande ? - Ne pas du tout manger de viande est mauvais pour la santé","D'après vous, quelle part des Français jugent pertinent chacun des arguments suivants concernant la consommation de viande ? - Manger de la viande c'est consentir aux conditions horribles des abattoirs","D'après vous, quelle part des Français jugent pertinent chacun des arguments suivants concernant la consommation de viande ? - Manger de la viande contribue au réchauffement climatique","D'après vous, quelle part des Français jugent pertinent chacun des arguments suivants concernant la consommation de viande ? - Manger de la viande rouge est cancérigène","D'après vous, quelle part des Français jugent pertinent chacun des arguments suivants concernant l'usage de l'avion ? - Prendre l'avion contribue au réchauffement climatique","D'après vous, quelle part des Français jugent pertinent chacun des arguments suivants concernant l'usage de l'avion ? - Je ne crée pas de pollution en prenant l'avion car celui-ci partira que je prenne un billet ou non","D'après vous, quelle part des Français jugent pertinent chacun des arguments suivants concernant l'usage de l'avion ? - Prendre l'avion est essentiel pour voyager et s'ouvrir l'esprit","D'après vous, quelle part des Français jugent pertinent chacun des arguments suivants concernant l'usage de l'avion ? - Arrêter de voyager en avion ça serait aller à l'encontre du progrès","D'après vous, quelle part des Français jugent pertinent chacun des arguments suivants concernant l'usage des véhicules électriques et hybrides ? - C'est un problème car les batteries sont difficiles à recycler","D'après vous, quelle part des Français jugent pertinent chacun des arguments suivants concernant l'usage des véhicules électriques et hybrides ? - Cela n'est pas écologique car cela nécessite plus d'électricité d'origine nucléaire","D'après vous, quelle part des Français jugent pertinent chacun des arguments suivants concernant l'usage des véhicules électriques et hybrides ? - Cela déplace la pollution dans les pays pauvres où les métaux des batteries sont extraits","D'après vous, quelle part des Français jugent pertinent chacun des arguments suivants concernant l'usage des véhicules électriques et hybrides ? - Ces véhicules émettent moins de gaz à effet de serre, et contribuent moins au changement climatique","D'après vous, quelle part des Français jugent pertinent chacun des arguments suivants concernant l'usage des véhicules électriques et hybrides ? - Ces véhicules évitent la pollution des échappements et ses effets néfastes sur la santé","D'après vous, quelle part des Français jugent pertinent chacun des arguments suivants concernant l'usage des véhicules électriques et hybrides ? - Les progrès technologiques permettront à terme de remédier au problème de recyclage des batteries.","D’une manière générale, diriez-vous que… ?",Dans quelle mesure êtes-vous satisfait(e) de la vie que vous menez ? - Déplacez le curseur,"Que pensez-vous de l’affirmation suivante : « Pour établir la justice sociale, il faudrait prendre aux riches pour donner aux pauvres » ? - Déplacez le curseur","En général, faites-vous confiance au gouvernement pour prendre les bonnesdécisions ?",Comment vous définiriez-vous politiquement ? (Plusieurs réponses possibles).,Par quel moyen vous tenez-vous principalement informé de l'actualité ?,À quelle fréquence parlez-vous du changement climatique ?,"Selon vous, le changement climatique ...","Selon vous, comment seraient les effets du changement climatique, dans l'hypothèse où l'humanité ne ferait rien pour le limiter ?","Selon vous, qui est responsable du changement climatique ? (Plusieurs choix possibles).",Seriez-vous prêt à changer votre mode de vie pour lutter contre le changement climatique ? (Plusieurs réponses possibles),"Le sondage touche à sa fin. Vous pouvez si vous le souhaitez inscrire toute remarque, commentaire ou suggestion dans le champ ci-dessous.",Region,Pays,Ville,Code postal
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID53_FIRST_CLICK""}","{""ImportId"":""QID53_LAST_CLICK""}","{""ImportId"":""QID53_PAGE_SUBMIT""}","{""ImportId"":""QID53_CLICK_COUNT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID56_2""}","{""ImportId"":""QID56_3""}","{""ImportId"":""QID56_4""}","{""ImportId"":""QID56_5""}","{""ImportId"":""QID56_6""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID57_4""}","{""ImportId"":""QID57_5""}","{""ImportId"":""QID57_6""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID58_7""}","{""ImportId"":""QID58_2""}","{""ImportId"":""QID58_4""}","{""ImportId"":""QID58_5""}","{""ImportId"":""QID58_6""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID64_2""}","{""ImportId"":""QID64_3""}","{""ImportId"":""QID64_4""}","{""ImportId"":""QID64_5""}","{""ImportId"":""QID64_6""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID65_4""}","{""ImportId"":""QID65_5""}","{""ImportId"":""QID65_6""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID66_7""}","{""ImportId"":""QID66_2""}","{""ImportId"":""QID66_4""}","{""ImportId"":""QID66_5""}","{""ImportId"":""QID66_6""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID67_TEXT""}","{""ImportId"":""Region""}","{""ImportId"":""Pays""}","{""ImportId"":""Ville""}","{""ImportId"":""Code postal""}"
2021-05-03 09:52:07,2021-05-03 09:52:17,1,,100,9,1,2021-05-03 09:52:17,R_2TYIom0bs2pplKy,,,,,52.355499267578125,5.00030517578125,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-03 17:07:47,2021-05-03 17:10:57,0,82.170.224.192,100,189,1,2021-05-03 17:10:57,R_yl2TTbglnkNEXJf,,,,,52.355499267578125,5.00030517578125,anonymous,EN,0,0,47.208,0,,,,,,,,,,,,2,,J'aime bien,,3,,,NSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,8,5,8,3,3,2,3,4,2,,,,,
2021-05-04 09:48:38,2021-05-04 09:50:09,0,82.170.224.192,100,90,1,2021-05-04 09:50:09,R_3DubCDX3T1iyBb3,,,,,52.355499267578125,5.00030517578125,anonymous,EN,0,0,2.29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,J'aime bien,5,,,NSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,,,,,,,,,,,,,
2021-05-04 09:50:56,2021-05-04 09:52:26,0,82.170.224.192,100,90,1,2021-05-04 09:52:26,R_3h4M2Iz5Tocxi8E,,,,,52.355499267578125,5.00030517578125,anonymous,EN,0,0,1.901,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-04 09:52:59,2021-05-04 09:53:41,0,82.170.224.192,100,42,1,2021-05-04 09:53:41,R_31gbdXPXfNapsgx,,,,,52.355499267578125,5.00030517578125,anonymous,EN,0,0,1.897,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-04 09:54:25,2021-05-04 10:00:29,0,82.170.224.192,100,363,1,2021-05-04 10:00:29,R_1lADdeCxZ4vfcpo,,,,,52.355499267578125,5.00030517578125,anonymous,EN,0,0,1.943,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-04 10:00:32,2021-05-04 10:01:26,0,82.170.224.192,100,53,1,2021-05-04 10:01:26,R_SIxC4X5Aomdwrgl,,,,,52.355499267578125,5.00030517578125,anonymous,EN,0,0,3.252,0,,,,,,,,,,,,,,,,,,,,,,1,NB,,1,ni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-04 10:09:31,2021-05-04 10:10:34,0,82.170.224.192,100,63,1,2021-05-04 10:10:35,R_3M50kUd0XNDnrnH,,,,,52.355499267578125,5.00030517578125,anonymous,EN,0,0,1.734,0,,2,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
